16
H1N1_PB2	0	156	156	1	1	0	0
H3N2_PB2	262144	262245	156	1	1	1	1
H1N1_PB1	524288	524447	262245	1	1	2	2
H3N2_PB1	786432	786591	524447	1	1	3	3
H1N1_PA	1048576	1048788	786591	1	1	4	5
H3N2_PA	1310720	1310932	1048788	1	1	5	4
H3N2_NP	1572864	1573040	1310932	1	1	6	6
H1N1_NP	1835008	1835184	1573040	1	1	7	7
H3N2_M	2097152	2097260	1835184	1	1	8	8
H1N1_M	2359296	2359388	2097260	1	1	9	9
H1N1_HA	2621440	2621576	2359388	1	1	10	12
H3N2_HA	2883584	2883725	2621576	1	1	11	13
H3N2_NA	3145728	3145859	2883725	1	1	12	14
H1N1_NA	3407872	3408003	3145859	1	1	13	15
H3N2_NS	3670016	3670133	3408003	1	1	14	10
H1N1_NS	3932160	3932277	3670133	1	1	15	11
